cad_id,responding_units,priority,dispatch_precinct,Dispatch_Longitude,dispatch_latitude,CAD_Event_Original_Time_Queued,first_dispatch_delay,first_response_time,min_dispatch_delay,dispatch_neighborhood
2024000000822,1,3,WEST,-122.33466559,47.60968542,"2024-01-01 21:02:23",754,754,754,"DOWNTOWN COMMERCIAL"
2024000000823,1,3,SOUTHWEST,-122.38815655,47.56023926,"2024-01-01 21:05:45",5258,5602,5258,"ALASKA JUNCTION"
2024000000824,2,3,NORTH,-122.31525073,47.66401157,"2024-01-01 21:07:35",33435,34208,33435,UNIVERSITY
2024000000825,1,2,NORTH,-122.34858309,47.64941493,"2024-01-01 21:08:45",534,661,534,FREMONT
2024000000826,1,1,WEST,-122.35007384,47.61430799,"2024-01-01 21:16:37",8,539,8,BELLTOWN
2024000000827,4,1,SOUTH,-122.30185434,47.56019913,"2024-01-01 21:17:02",16,1360,16,"MID BEACON HILL"
2024000000830,3,1,NORTH,-122.34081857,47.6987012,"2024-01-01 21:19:21",41,301,41,NORTHGATE
2024000000831,2,1,WEST,-122.33074148,47.60087781,"2024-01-01 21:20:24",70,619,70,"PIONEER SQUARE"
2024000000832,1,1,EAST,-122.32729728,47.60498268,"2024-01-01 21:21:31",20,NULL,20,"FIRST HILL"
2024000000833,1,3,EAST,-122.3027592,47.59927791,"2024-01-01 21:24:30",13766,15613,13766,"JUDKINS PARK/NORTH BEACON HILL"
2024000000834,1,2,WEST,-122.35219137,47.6179061,"2024-01-01 21:26:20",726,823,726,BELLTOWN
2024000000835,1,1,SOUTH,-122.28472558,47.53795765,"2024-01-01 21:29:37",1582,NULL,1582,"NEW HOLLY"
2024000000837,2,1,NORTH,-122.32990655,47.67595344,"2024-01-01 21:31:31",15,452,15,ROOSEVELT/RAVENNA
2024000000838,2,1,EAST,-122.3225147,47.6242716,"2024-01-01 21:35:49",50,429,50,"CAPITOL HILL"
2024000000842,1,3,WEST,-122.37615967,47.64067899,"2024-01-01 21:44:23",375,NULL,375,"QUEEN ANNE"
2024000000843,2,3,WEST,-122.330415,47.61919797,"2024-01-01 21:46:24",966,1593,966,SLU/CASCADE
2024000000845,3,1,NORTH,-122.35665554,47.69190997,"2024-01-01 21:49:20",16,516,16,GREENWOOD
2024000000850,4,2,SOUTHWEST,-122.36934938,47.52103664,"2024-01-01 21:58:25",89,153,89,"ROXHILL/WESTWOOD/ARBOR HEIGHTS"
2024000000852,4,1,SOUTH,-122.27637815,47.56409489,"2024-01-01 22:00:45",35,NULL,35,GENESEE
2024000000853,1,4,SOUTH,-122.24937773,47.50560401,"2024-01-01 22:01:37",2068,2384,2068,"RAINIER VIEW"
2024000000856,5,1,SOUTH,-122.27324901,47.56587316,"2024-01-01 22:05:33",36,488,36,"LAKEWOOD/SEWARD PARK"
2024000000859,1,2,SOUTHWEST,-122.37933788,47.52505092,"2024-01-01 22:08:13",151,523,151,"FAUNTLEROY SW"
2024000000860,1,3,WEST,-122.38461608,47.65397898,"2024-01-01 22:09:00",11939,12233,11939,MAGNOLIA
2024000000861,1,3,NORTH,-122.30978385,47.67527139,"2024-01-01 22:10:15",535,718,535,ROOSEVELT/RAVENNA
2024000000862,1,3,NORTH,-122.30978385,47.67527139,"2024-01-01 22:10:17",1658,1658,1658,ROOSEVELT/RAVENNA
2024000000863,1,1,WEST,-122.33668343,47.61021404,"2024-01-01 22:10:42",40,200,40,"DOWNTOWN COMMERCIAL"
2024000000864,1,2,SOUTHWEST,-122.35780592,47.521948,"2024-01-01 22:10:46",3869,3869,3869,"SOUTH DELRIDGE"
2024000000865,4,1,WEST,-122.33593685,47.6007371,"2024-01-01 22:11:45",75,192,75,"PIONEER SQUARE"
2024000000866,3,2,NORTH,-122.32953644,47.67364635,"2024-01-01 22:11:53",93,NULL,93,ROOSEVELT/RAVENNA
2024000000871,2,2,EAST,-122.30767014,47.5966434,"2024-01-01 22:15:21",1231,1530,1231,"JUDKINS PARK/NORTH BEACON HILL"
2024000000873,1,3,EAST,-122.30223583,47.6010021,"2024-01-01 22:18:05",12834,12834,12834,MADRONA/LESCHI
2024000000879,1,4,NORTH,-122.30972406,47.66125952,"2024-01-01 22:24:03",371,3363,371,UNIVERSITY
2024000000881,2,1,SOUTHWEST,-122.34670212,47.51822835,"2024-01-01 22:27:42",50,385,50,"HIGHLAND PARK"
2024000000882,1,2,SOUTHWEST,-122.33900415,47.53604206,"2024-01-01 22:30:41",572,NULL,572,"SOUTH PARK"
2024000000883,1,2,NORTH,-122.31199331,47.66126195,"2024-01-01 22:34:18",3066,3332,3066,UNIVERSITY
2024000000884,1,2,EAST,-122.32543144,47.61217564,"2024-01-01 22:36:56",4604,4784,4604,"FIRST HILL"
2024000000888,1,2,NORTH,-122.36605575,47.70151295,"2024-01-01 22:40:28",96,NULL,96,GREENWOOD
2024000000889,6,1,SOUTH,-122.27532276,47.52331186,"2024-01-01 22:41:46",46,858,46,"RAINIER BEACH"
2024000000895,2,2,NORTH,-122.31873901,47.67729635,"2024-01-01 22:53:26",21213,21886,21213,ROOSEVELT/RAVENNA
2024000000896,1,2,NORTH,-122.38266633,47.66595739,"2024-01-01 22:58:31",1834,2106,1834,"BALLARD SOUTH"
2024000000897,2,1,NORTH,-122.3479331,47.72503884,"2024-01-01 23:00:55",23,NULL,23,BITTERLAKE
2024000000898,2,3,NORTH,-122.31994332,47.68246373,"2024-01-01 23:02:23",20053,20602,20053,ROOSEVELT/RAVENNA
2024000000900,1,3,NORTH,-122.35800096,47.69243375,"2024-01-01 23:03:34",2548,3481,2548,GREENWOOD
2024000000902,1,2,SOUTHWEST,-122.3454377,47.52005208,"2024-01-01 23:04:14",1721,1952,1721,"HIGHLAND PARK"
2024000000905,1,2,NORTH,-122.34452192,47.69056259,"2024-01-01 23:10:20",847,1180,847,GREENWOOD
2024000000907,5,2,WEST,-122.33511981,47.61018167,"2024-01-01 23:15:20",22,138,22,"DOWNTOWN COMMERCIAL"
2024000000914,4,2,WEST,-122.34068301,47.61344689,"2024-01-01 23:28:28",85,NULL,85,SLU/CASCADE
2024000000915,1,2,SOUTHWEST,-122.35780592,47.521948,"2024-01-01 23:32:43",181,181,181,"SOUTH DELRIDGE"
2024000000916,8,1,WEST,-122.3310822,47.60241242,"2024-01-01 23:33:42",38,187,38,"DOWNTOWN COMMERCIAL"
2024000000917,2,2,SOUTHWEST,-122.37307869,47.51208859,"2024-01-01 23:37:01",4728,5014,4728,"ROXHILL/WESTWOOD/ARBOR HEIGHTS"
2024000000925,3,1,WEST,-122.34630821,47.61442098,"2024-01-02 00:00:40",25,372,25,BELLTOWN
2024000000927,1,3,NORTH,-122.32060318,47.71039668,"2024-01-02 00:09:19",36289,36289,36289,NORTHGATE
2024000000929,1,2,NORTH,-122.33154744,47.72409681,"2024-01-02 00:14:54",116,NULL,116,NORTHGATE
2024000000931,3,1,NORTH,-122.34456066,47.6938234,"2024-01-02 00:17:43",21,112,21,NORTHGATE
2024000000932,1,2,WEST,-122.33854446,47.61687464,"2024-01-02 00:17:51",2378,3843,2378,SLU/CASCADE
2024000000938,4,1,NORTH,-122.37358761,47.66905322,"2024-01-02 00:32:11",71,228,71,"BALLARD SOUTH"
2024000000939,2,1,NORTH,-122.35530031,47.68802767,"2024-01-02 00:35:26",56,149,56,GREENWOOD
2024000000944,3,1,NORTH,-122.29078407,47.71925344,"2024-01-02 00:40:29",30,125,30,LAKECITY
2024000000945,2,1,NORTH,-122.29284098,47.72379509,"2024-01-02 00:42:45",75,557,75,LAKECITY
2024000000947,12,1,NORTH,-122.37679292,47.68687813,"2024-01-02 00:46:30",16,260,16,"BALLARD NORTH"
2024000000948,1,2,NORTH,-122.38266633,47.66595739,"2024-01-02 00:47:14",14692,15445,14692,"BALLARD SOUTH"
2024000000950,3,1,WEST,-122.33425791,47.61909105,"2024-01-02 00:49:34",27,NULL,27,SLU/CASCADE
2024000000954,1,1,NORTH,-122.32328982,47.70908766,"2024-01-02 00:54:25",78,329,78,NORTHGATE
2024000000956,3,1,SOUTH,-122.28472558,47.53795765,"2024-01-02 00:59:54",165,NULL,165,"NEW HOLLY"
2024000000957,1,3,NORTH,-122.35395967,47.69331364,"2024-01-02 01:00:10",6765,6765,6765,GREENWOOD
2024000000958,2,1,WEST,-122.3573428,47.62719432,"2024-01-02 01:03:41",84,NULL,84,"QUEEN ANNE"
2024000000959,1,1,NORTH,-122.32544281,47.67552034,"2024-01-02 01:04:44",99,4149,99,ROOSEVELT/RAVENNA
2024000000964,2,1,SOUTH,-122.31430015,47.54770755,"2024-01-02 01:16:41",80,439,80,GEORGETOWN
2024000000965,4,1,EAST,-122.32706883,47.60557243,"2024-01-02 01:16:42",34,256,34,"FIRST HILL"
2024000000967,1,1,EAST,-122.32529999,47.62083366,"2024-01-02 01:21:58",21,414,21,"CAPITOL HILL"
2024000000968,1,3,SOUTH,-122.30619267,47.58550618,"2024-01-02 01:26:46",8386,8386,8386,"NORTH BEACON HILL"
2024000000970,1,2,NORTH,-122.31164228,47.68788685,"2024-01-02 01:29:28",10707,11447,10707,ROOSEVELT/RAVENNA
2024000000976,3,1,WEST,-122.32951432,47.60405522,"2024-01-02 01:39:10",27,369,27,"DOWNTOWN COMMERCIAL"
2024000000981,1,2,NORTH,-122.3888643,47.67164701,"2024-01-02 01:50:27",12267,12381,12267,"BALLARD SOUTH"
2024000000983,1,3,EAST,-122.31154783,47.60710905,"2024-01-02 01:56:15",10471,10578,10471,"CENTRAL AREA/SQUIRE PARK"
2024000000984,1,2,WEST,-122.33622933,47.60971758,"2024-01-02 02:00:15",571,990,571,"DOWNTOWN COMMERCIAL"
2024000000986,3,2,EAST,-122.32128502,47.61094966,"2024-01-02 02:28:12",39,268,39,"CAPITOL HILL"
2024000000988,1,2,NORTH,-122.35557029,47.73366799,"2024-01-02 02:30:50",250,556,250,BITTERLAKE
2024000000989,6,1,WEST,-122.33779291,47.60974973,"2024-01-02 02:33:05",30,88,30,"DOWNTOWN COMMERCIAL"
2024000000992,4,1,WEST,-122.33148686,47.61376019,"2024-01-02 02:38:02",26,132,26,"DOWNTOWN COMMERCIAL"
2024000000995,1,4,NORTH,-122.31550035,47.65908266,"2024-01-02 02:45:59",14859,NULL,14859,UNIVERSITY
2024000000996,2,1,WEST,-122.33592855,47.61190423,"2024-01-02 02:46:22",24,107,24,"DOWNTOWN COMMERCIAL"
2024000000999,1,3,WEST,-122.32710677,47.64087913,"2024-01-02 02:55:59",7436,8096,7436,"EASTLAKE - WEST"
2024000001000,2,1,NORTH,-122.34461878,47.69871376,"2024-01-02 02:56:20",127,332,127,NORTHGATE
2024000001003,1,2,WEST,-122.33158082,47.59828766,"2024-01-02 03:09:48",4911,5459,4911,"PIONEER SQUARE"
2024000001004,4,2,WEST,-122.33587138,47.61910958,"2024-01-02 03:12:05",1303,1767,1303,SLU/CASCADE
2024000001006,1,3,NORTH,-122.34499683,47.72503555,"2024-01-02 03:19:58",6042,6048,6042,BITTERLAKE
2024000001013,1,2,EAST,-122.30635025,47.60351265,"2024-01-02 03:49:34",2882,3510,2882,"CENTRAL AREA/SQUIRE PARK"
2024000001016,5,1,SOUTHWEST,-122.35645956,47.52194987,"2024-01-02 04:01:51",59,1291,59,"SOUTH DELRIDGE"
2024000001020,2,1,EAST,-122.32701611,47.62745868,"2024-01-02 04:15:49",561,842,561,"EASTLAKE - EAST"
2024000001025,3,2,WEST,-122.33779077,47.61505761,"2024-01-02 04:44:22",109,353,109,SLU/CASCADE
2024000001028,3,2,WEST,-122.33622933,47.60971758,"2024-01-02 04:49:48",51,1074,51,"DOWNTOWN COMMERCIAL"
2024000001029,3,1,WEST,-122.33140852,47.60276918,"2024-01-02 04:50:50",26,250,26,"DOWNTOWN COMMERCIAL"
2024000001030,2,1,SOUTHWEST,-122.36990541,47.5264765,"2024-01-02 04:58:18",55,166,55,"ROXHILL/WESTWOOD/ARBOR HEIGHTS"
2024000001032,3,2,WEST,-122.34090342,47.61416338,"2024-01-02 05:07:32",96,799,96,SLU/CASCADE
2024000001043,5,1,WEST,-122.3312087,47.617225,"2024-01-02 05:32:31",20,261,20,SLU/CASCADE
2024000001044,1,1,EAST,-122.31015689,47.61469027,"2024-01-02 05:33:32",24,NULL,24,"CENTRAL AREA/SQUIRE PARK"
2024000001046,1,4,EAST,-122.32190654,47.61167653,"2024-01-02 05:40:24",4588,NULL,4588,"CAPITOL HILL"
2024000001051,2,2,WEST,-122.35658921,47.6318286,"2024-01-02 06:03:09",68,1641,68,"QUEEN ANNE"
2024000001053,2,2,EAST,-122.3139102,47.61995898,"2024-01-02 06:10:13",55,354,55,"CAPITOL HILL"
2024000001055,2,2,SOUTH,-122.32905708,47.57876777,"2024-01-02 06:15:09",227,430,227,SODO
2024000001057,2,3,WEST,-122.3410815,47.6202993,"2024-01-02 06:18:41",113,1633,113,SLU/CASCADE
2024000001059,3,2,SOUTH,-122.28260252,47.53978646,"2024-01-02 06:29:48",67,730,67,BRIGHTON/DUNLAP
2024000001061,1,3,SOUTH,-122.29375105,47.53891249,"2024-01-02 06:38:55",65,291,65,"SOUTH BEACON HILL"
2024000001067,1,5,NORTH,-122.34090362,47.7195715,"2024-01-02 06:53:41",3765,3765,3765,NORTHGATE
2024000001068,2,2,NORTH,-122.33487257,47.66868827,"2024-01-02 06:58:52",3946,7392,3946,WALLINGFORD
2024000001069,4,3,WEST,-122.38594871,47.65988288,"2024-01-02 07:00:16",44,20973,44,MAGNOLIA
2024000001073,2,2,SOUTH,-122.28801104,47.56345666,"2024-01-02 07:06:30",21,966,21,GENESEE
2024000001079,1,3,NORTH,-122.31911901,47.70402102,"2024-01-02 07:20:26",2817,2830,2817,NORTHGATE
2024000001082,4,2,SOUTH,-122.28491918,47.56010108,"2024-01-02 07:29:16",28,295,28,"COLUMBIA CITY"
2024000001083,3,2,SOUTH,-122.2644964,47.52240866,"2024-01-02 07:29:29",108,1117,108,"RAINIER BEACH"
2024000001085,2,2,EAST,-122.32093333,47.62369898,"2024-01-02 07:31:16",1129,2151,1129,"CAPITOL HILL"
2024000001088,2,1,SOUTH,-122.27014244,47.50614732,"2024-01-02 07:36:46",19,433,19,"RAINIER VIEW"
2024000001093,1,3,SOUTH,-122.31058749,47.56052255,"2024-01-02 07:46:21",47,1343,47,"MID BEACON HILL"
2024000001097,1,4,EAST,-122.32672687,47.61886279,"2024-01-02 07:56:06",83,NULL,83,"CAPITOL HILL"
2024000001099,1,4,SOUTH,-122.29416213,47.57735342,"2024-01-02 08:00:40",116,533,116,"MOUNT BAKER"
2024000001102,1,2,NORTH,-122.38758734,47.6705517,"2024-01-02 08:06:49",257,487,257,"BALLARD SOUTH"
2024000001106,4,2,SOUTH,-122.28731646,47.54607698,"2024-01-02 08:11:05",4298,10769,4298,"MID BEACON HILL"
2024000001110,2,1,SOUTH,-122.28997217,47.53770862,"2024-01-02 08:16:55",79,150,79,"SOUTH BEACON HILL"
2024000001112,1,3,SOUTHWEST,-122.32819876,47.52648115,"2024-01-02 08:17:39",316,2364,316,"SOUTH PARK"
2024000001117,2,3,WEST,-122.37501301,47.64092105,"2024-01-02 08:19:11",12815,13971,12815,"QUEEN ANNE"
2024000001122,1,4,NORTH,-122.32680714,47.65662149,"2024-01-02 08:26:00",1564,NULL,1564,WALLINGFORD
2024000001124,1,3,WEST,-122.32596774,47.59365795,"2024-01-02 08:28:04",159,159,159,"CHINATOWN/INTERNATIONAL DISTRICT"
2024000001128,3,2,WEST,-122.33107018,47.62196996,"2024-01-02 08:31:05",16134,16769,16134,SLU/CASCADE
2024000001130,2,1,NORTH,-122.31004665,47.7339212,"2024-01-02 08:35:13",115,598,115,LAKECITY
2024000001135,3,1,SOUTH,-122.32998831,47.58085143,"2024-01-02 08:38:50",216,1084,216,SODO
2024000001136,2,3,EAST,-122.32144565,47.61407093,"2024-01-02 08:41:17",14837,14887,14837,"CAPITOL HILL"
2024000001137,3,2,NORTH,-122.34455206,47.69309926,"2024-01-02 08:42:51",230,598,230,GREENWOOD
2024000001142,1,2,NORTH,-122.34499683,47.72503555,"2024-01-02 08:47:18",1444,1498,1444,BITTERLAKE
2024000001143,2,3,WEST,-122.3422924,47.63099853,"2024-01-02 08:47:18",1844,1844,1844,"QUEEN ANNE"
2024000001145,2,2,EAST,-122.32308545,47.60625097,"2024-01-02 08:49:16",76,1410,76,"FIRST HILL"
2024000001146,2,1,EAST,-122.31674574,47.6236882,"2024-01-02 08:51:22",16,361,16,"CAPITOL HILL"
2024000001150,3,1,SOUTHWEST,-122.3606538,47.56834772,"2024-01-02 08:54:49",19,600,19,"PIGEON POINT"
2024000001151,1,1,EAST,-122.32529999,47.62083366,"2024-01-02 08:54:55",105,356,105,"CAPITOL HILL"
2024000001153,5,2,SOUTH,-122.30424833,47.58408715,"2024-01-02 09:00:35",22,372,22,"NORTH BEACON HILL"
2024000001159,1,5,WEST,-122.32635237,47.60129045,"2024-01-02 09:03:03",7241,7241,7241,"CHINATOWN/INTERNATIONAL DISTRICT"
2024000001168,3,1,NORTH,-122.29389607,47.72289927,"2024-01-02 09:13:39",21,NULL,21,LAKECITY
2024000001171,1,5,SOUTHWEST,-122.36301033,47.55010846,"2024-01-02 09:20:07",562,562,562,"NORTH DELRIDGE"
2024000001172,1,3,SOUTHWEST,-122.32702864,47.5273324,"2024-01-02 09:21:11",241,481,241,"SOUTH PARK"
2024000001173,3,2,NORTH,-122.31525073,47.66401157,"2024-01-02 09:21:32",132,727,132,UNIVERSITY
2024000001180,1,3,SOUTH,-122.28691371,47.55865955,"2024-01-02 09:27:00",36,509,36,"COLUMBIA CITY"
2024000001181,1,3,EAST,-122.29255981,47.61352085,"2024-01-02 09:27:31",18567,18782,18567,"CENTRAL AREA/SQUIRE PARK"
2024000001185,2,3,EAST,-122.33000998,47.61225996,"2024-01-02 09:33:58",9582,10942,9582,"FIRST HILL"
2024000001187,1,2,NORTH,-122.33035447,47.72681737,"2024-01-02 09:35:53",55,1233,55,NORTHGATE
2024000001191,1,3,EAST,-122.32344393,47.60412808,"2024-01-02 09:40:07",42,42,42,"FIRST HILL"
2024000001196,2,2,NORTH,-122.31786175,47.70917517,"2024-01-02 09:44:47",5759,7309,5759,NORTHGATE
2024000001197,1,2,EAST,-122.30223492,47.59980121,"2024-01-02 09:44:51",115,1046,115,"JUDKINS PARK/NORTH BEACON HILL"
2024000001198,2,2,SOUTHWEST,-122.38388874,47.58117586,"2024-01-02 09:45:16",83,681,83,"NORTH ADMIRAL"
2024000001200,2,2,EAST,-122.32077138,47.61351952,"2024-01-02 09:46:29",11048,11380,11048,"CAPITOL HILL"
2024000001204,1,3,SOUTH,-122.30028094,47.57937827,"2024-01-02 09:48:34",20,206,20,"NORTH BEACON HILL"
2024000001205,1,2,NORTH,-122.35209336,47.70507355,"2024-01-02 09:48:43",1598,1603,1598,GREENWOOD
2024000001211,2,1,EAST,-122.32681233,47.61465314,"2024-01-02 09:55:38",141,455,141,"CAPITOL HILL"
2024000001213,2,1,NORTH,-122.32961637,47.72646674,"2024-01-02 09:56:08",111,NULL,111,NORTHGATE
2024000001214,1,2,WEST,-122.33026479,47.60171616,"2024-01-02 09:57:36",9814,9814,9814,"DOWNTOWN COMMERCIAL"
2024000001215,1,3,NORTH,-122.3339376,47.70548994,"2024-01-02 09:57:48",8036,8036,8036,NORTHGATE
2024000001218,1,3,NORTH,-122.34864711,47.65933532,"2024-01-02 10:03:47",6658,7230,6658,FREMONT
2024000001229,2,1,WEST,-122.34328424,47.61498466,"2024-01-02 10:19:49",61,567,61,SLU/CASCADE
2024000001231,1,3,EAST,-122.32658216,47.62140653,"2024-01-02 10:24:00",13380,13870,13380,"CAPITOL HILL"
2024000001232,1,3,EAST,-122.30116915,47.59557258,"2024-01-02 10:25:13",67,NULL,67,MADRONA/LESCHI
2024000001234,1,4,SOUTH,-122.32905801,47.5850737,"2024-01-02 10:26:30",29,NULL,29,SODO
2024000001238,1,3,WEST,-122.3383483,47.60951744,"2024-01-02 10:29:54",5494,6204,5494,"DOWNTOWN COMMERCIAL"
2024000001248,1,5,EAST,-122.30831512,47.59924291,"2024-01-02 10:38:16",17622,17622,17622,"JUDKINS PARK/NORTH BEACON HILL"
2024000001250,3,2,SOUTH,-122.32690161,47.55145913,"2024-01-02 10:40:47",63,640,63,GEORGETOWN
2024000001251,1,3,NORTH,-122.34402707,47.69418264,"2024-01-02 10:41:56",5082,6960,5082,NORTHGATE
2024000001256,3,2,SOUTHWEST,-122.36934938,47.52103664,"2024-01-02 10:47:40",23,618,23,"ROXHILL/WESTWOOD/ARBOR HEIGHTS"
2024000001258,4,2,NORTH,-122.29249361,47.7210075,"2024-01-02 10:49:45",150,150,150,LAKECITY
2024000001259,1,3,SOUTHWEST,-122.35169084,47.55859165,"2024-01-02 10:51:37",82,503,82,"NORTH DELRIDGE"
2024000001267,2,1,NORTH,-122.37679618,47.68780125,"2024-01-02 10:59:56",77,1288,77,"BALLARD NORTH"
2024000001268,1,3,NORTH,-122.37754813,47.67017314,"2024-01-02 11:00:11",5754,5754,5754,"BALLARD SOUTH"
2024000001269,1,2,NORTH,-122.31525073,47.66401157,"2024-01-02 11:00:31",2503,3973,2503,UNIVERSITY
2024000001270,2,2,SOUTH,-122.30423296,47.58591481,"2024-01-02 11:01:39",94,876,94,"NORTH BEACON HILL"
2024000001272,8,1,EAST,-122.30223346,47.5992813,"2024-01-02 11:02:59",86,779,86,"JUDKINS PARK/NORTH BEACON HILL"
2024000001274,3,2,SOUTH,-122.29878848,47.55168756,"2024-01-02 11:07:33",1234,2019,1234,"MID BEACON HILL"
2024000001278,1,1,WEST,-122.33814675,47.61097517,"2024-01-02 11:10:53",135,NULL,135,"DOWNTOWN COMMERCIAL"
2024000001280,2,2,NORTH,-122.38758734,47.6705517,"2024-01-02 11:17:19",1708,4470,1708,"BALLARD SOUTH"
2024000001281,6,1,WEST,-122.36000197,47.62095315,"2024-01-02 11:19:33",71,227,71,"QUEEN ANNE"
2024000001282,2,1,NORTH,-122.30390736,47.65108342,"2024-01-02 11:21:19",78,1034,78,UNIVERSITY
2024000001284,1,1,WEST,-122.32505692,47.59877133,"2024-01-02 11:24:44",190,1423,190,"CHINATOWN/INTERNATIONAL DISTRICT"
2024000001286,1,2,SOUTHWEST,-122.3437877,47.57122074,"2024-01-02 11:26:10",1099,1582,1099,SODO
2024000001292,1,3,SOUTHWEST,-122.38665976,47.5783244,"2024-01-02 11:36:56",2683,2795,2683,"NORTH ADMIRAL"
2024000001294,4,2,WEST,-122.33865116,47.60733159,"2024-01-02 11:40:59",415,1062,415,"DOWNTOWN COMMERCIAL"
2024000001299,1,3,SOUTH,-122.31346795,47.55410054,"2024-01-02 11:44:59",3842,4075,3842,"MID BEACON HILL"
2024000001304,1,2,WEST,-122.31531756,47.59833443,"2024-01-02 11:48:26",8909,10448,8909,"CHINATOWN/INTERNATIONAL DISTRICT"
2024000001305,1,1,WEST,-122.3323696,47.61476317,"2024-01-02 11:48:27",54,54,54,"DOWNTOWN COMMERCIAL"
2024000001306,2,1,WEST,-122.3317002,47.62024125,"2024-01-02 11:49:08",184,NULL,184,SLU/CASCADE
2024000001309,2,3,EAST,-122.32680361,47.6167093,"2024-01-02 11:51:40",34370,34722,34370,"CAPITOL HILL"
2024000001316,1,5,WEST,-122.34357548,47.62670593,"2024-01-02 11:57:54",10156,10156,10156,"QUEEN ANNE"
2024000001332,2,1,WEST,-122.34500723,47.62031402,"2024-01-02 12:13:35",127,607,127,SLU/CASCADE
2024000001335,1,2,EAST,-122.32074964,47.60621256,"2024-01-02 12:16:04",64,845,64,"FIRST HILL"
2024000001339,6,1,SOUTH,-122.29290517,47.57147529,"2024-01-02 12:22:15",113,973,113,"CLAREMONT/RAINIER VISTA"
2024000001340,1,2,SOUTH,-122.28760786,47.5477415,"2024-01-02 12:22:20",19652,19962,19652,"MID BEACON HILL"
2024000001341,2,2,EAST,-122.32078037,47.61407567,"2024-01-02 12:23:03",2564,2662,2564,"CAPITOL HILL"
2024000001342,1,2,WEST,-122.35671454,47.62392989,"2024-01-02 12:26:27",3782,4224,3782,"QUEEN ANNE"
2024000001348,3,2,SOUTHWEST,-122.38942838,47.57294456,"2024-01-02 12:32:50",50,541,50,"NORTH ADMIRAL"
2024000001353,3,1,SOUTHWEST,-122.36864101,47.5484756,"2024-01-02 12:36:43",23,851,23,"HIGH POINT"
2024000001356,4,1,SOUTHWEST,-122.38145646,47.5601804,"2024-01-02 12:40:50",20,1221,20,"ALASKA JUNCTION"
2024000001358,2,2,NORTH,-122.3125402,47.67651215,"2024-01-02 12:41:47",596,29376,596,ROOSEVELT/RAVENNA
2024000001361,1,2,WEST,-122.34019114,47.627943,"2024-01-02 12:45:20",169,NULL,169,"QUEEN ANNE"
2024000001362,1,3,EAST,-122.29046481,47.60860892,"2024-01-02 12:46:12",25823,26682,25823,MADRONA/LESCHI
2024000001363,1,3,SOUTH,-122.28209483,47.54600376,"2024-01-02 12:46:13",2399,3303,2399,"HILLMAN CITY"
2024000001364,1,2,EAST,-122.32077138,47.61351952,"2024-01-02 12:46:21",2757,2765,2757,"CAPITOL HILL"
2024000001368,1,3,WEST,-122.339257,47.61051065,"2024-01-02 12:48:58",6014,6589,6014,"DOWNTOWN COMMERCIAL"
2024000001372,1,3,EAST,-122.27846051,47.63636327,"2024-01-02 12:54:39",972,1446,972,"MADISON PARK"
2024000001384,1,2,SOUTH,-122.30423296,47.58591481,"2024-01-02 13:04:28",120,NULL,120,"NORTH BEACON HILL"
2024000001386,1,3,WEST,-122.33898034,47.60601377,"2024-01-02 13:05:40",23529,NULL,23529,"DOWNTOWN COMMERCIAL"
2024000001389,1,2,WEST,-122.33401908,47.6056239,"2024-01-02 13:07:32",4612,4624,4612,"DOWNTOWN COMMERCIAL"
2024000001392,2,2,EAST,-122.32967396,47.60842795,"2024-01-02 13:11:43",17974,18900,17974,"FIRST HILL"
